  ID | phrase      | source                      | meaning                                     | gender | wuxing | quality | keywords
------------------------------------------------------------------------------------------------------------------------
   1 | 安颐           | 候选词                        | 安适养身                                     | B      |        | 4     | 平安健康（10个候选词）
   2 | 康宁           | 候选词                        | 健康安宁                                     | B      |        | 4     | 平安健康（10个候选词）
   3 | 静和           | 候选词                        | 安静平和                                     | B      |        | 4     | 平安健康（10个候选词）
   4 | 佑安           | 候选词                        | 护佑平安                                     | B      |        | 4     | 平安健康（10个候选词）
   5 | 泰然           | 候选词                        | 安泰自然                                     | B      |        | 4     | 平安健康（10个候选词）
   6 | 顺安           | 候选词                        | 顺遂平安                                     | B      |        | 4     | 平安健康（10个候选词）
   7 | 宜宁           | 候选词                        | 适宜安宁                                     | B      |        | 4     | 平安健康（10个候选词）
   8 | 平澜           | 候选词                        | 平静无波                                     | B      |        | 4     | 平安健康（10个候选词）
   9 | 绥和           | 候选词                        | 安定平和                                     | B      |        | 4     | 平安健康（10个候选词）
  10 | 无恙           | 候选词                        | 无病无灾                                     | B      |        | 4     | 平安健康（10个候选词）
  11 | 睿渊           | 候选词                        | 智慧深远                                     | B      |        | 4     | 聪明智慧（10个候选词）
  12 | 明哲           | 候选词                        | 明智通达                                     | B      |        | 4     | 聪明智慧（10个候选词）
  13 | 慧觉           | 候选词                        | 智慧觉悟                                     | B      |        | 4     | 聪明智慧（10个候选词）
  14 | 颖悟           | 候选词                        | 聪颖过人                                     | B      |        | 4     | 聪明智慧（10个候选词）
  15 | 灵均           | 候选词                        | 灵性平均                                     | B      |        | 4     | 聪明智慧（10个候选词）
  16 | 智周           | 候选词                        | 智慧周全                                     | B      |        | 4     | 聪明智慧（10个候选词）
  17 | 昭慧           | 候选词                        | 明慧通达                                     | B      |        | 4     | 聪明智慧（10个候选词）
  18 | 敏学           | 候选词                        | 勤敏好学                                     | B      |        | 4     | 聪明智慧（10个候选词）
  19 | 悟明           | 候选词                        | 觉悟明理                                     | B      |        | 4     | 聪明智慧（10个候选词）
  20 | 析理           | 候选词                        | 明辨事理                                     | B      |        | 4     | 聪明智慧（10个候选词）
  21 | 鹏举           | 候选词                        | 大鹏高飞                                     | B      |        | 4     | 事业有成（10个候选词）
  22 | 云程           | 候选词                        | 前程远大                                     | B      |        | 4     | 事业有成（10个候选词）
  23 | 展图           | 候选词                        | 施展宏图                                     | B      |        | 4     | 事业有成（10个候选词）
  24 | 业峻           | 候选词                        | 事业崇高                                     | B      |        | 4     | 事业有成（10个候选词）
  25 | 宏毅           | 候选词                        | 宏大坚毅                                     | B      |        | 4     | 事业有成（10个候选词）
  26 | 奋杰           | 候选词                        | 奋发杰出                                     | B      |        | 4     | 事业有成（10个候选词）
  27 | 腾骧           | 候选词                        | 奔腾向前                                     | B      |        | 4     | 事业有成（10个候选词）
  28 | 勋远           | 候选词                        | 功勋远大                                     | B      |        | 4     | 事业有成（10个候选词）
