英文名,性别,音标,中文译名,来源,流行度
Aalto,中性,['a:lt&#596;:],阿尔托,芬兰语,无
Aaron,男性,['&#603;&#601;r&#601;n],亚伦,希伯来语,★★
Ab,男性,[&#230;b],阿布,英语,无
Abadam,中性,[&#601;'b&#230;d&#601;m],阿巴达姆,英语,无
Abbado,中性,[&#601;'ba:d&#601;u],阿巴多,,无
Abbas,男性,[&#601;'b&#230;s],阿巴斯,阿拉伯和希伯来,无
Abbe,中性,['&#230;bi],阿贝,英语,无
Abbet,中性,['&#230;bit],阿贝特,英语,无
Abbey,女性,['&#230;bi],阿比,希伯来语,★
Abbot,男性,['&#230;b&#601;t],阿博特,希伯来语,无
Abbott,男性,['&#230;b&#601;t],阿博特,希伯来,★★★
Abbs,中性,[&#230;bz],阿布斯,英语,无
Abby,女性,['&#230;bi],阿比,希伯来语,无
Abdey,中性,['&#230;bdi],阿布迪,英语,无
Abdie,中性,['&#230;bdi],阿布迪,英语,无
Abdul,男性,[a:b'du:l],阿卜杜勒,阿拉伯语,无
Abe,男性,[eib],艾贝,希伯来,★
Abel,男性,['eib&#601;l],艾贝尔,希伯来语,★★
Abelard,男性,['&#230;b&#601;la:d],阿伯拉尔,德语,无
Abell,男性,['eibel],艾贝尔,希伯来语,★
Abelson,中性,['eiblsn],艾贝尔森,英语,无
Abercrombie,中性,['&#230;b&#601;kr&#652;mbi],阿伯克龙比,布立吞语,★
Abercromby,中性,['&#230;b&#601;kr&#652;mbi],阿伯克龙比,布立吞语,无
Aberdeen,女性,[&#230;b&#601;'di:n],阿伯丁,苏格兰,无
Abernathy,中性,[.&#230;b&#601;'nei&#240;i],阿伯内西,苏格兰语,★★
Abernethy,中性,[.&#230;b&#601;'ne&#952;i],阿伯内西,布立吞语,★
Abigail,女性,['&#230;bigeil],阿比盖尔,希伯来语,无
Able,男性,['eibl],埃布尔,希伯来语,★
Ableson,男性,['eiblsn],埃布尔森,希伯来语,无
Ablett,男性,['&#230;blit],阿布利,希伯来语,无
Ablewhite,中性,['eiblhwait],埃布尔怀特,,无
Ablitt,男性,['&#230;blit],阿布利特,,无
Ablott,中性,['&#230;bl&#601;t],阿布洛特,,无
Abner,男性,['&#230;bn&#601;],阿布纳,希伯来语,★
Abraham,男性,['eibr&#601;h&#230;m],亚伯拉罕,希伯来语,★★
Abrahams,中性,['eibr&#601;h&#230;m],亚伯拉罕斯,希伯来语,★
Abrahamson,中性,['eibr&#601;h&#230;msn],亚伯拉罕森,希伯来语,★
Abram,男性,['eibr&#601;m],艾布拉姆,希伯来语,★
Abrams,中性,['eibr&#601;mz],艾布拉姆斯,英语,★★
Abramson,中性,['eibr&#601;msn],艾布拉姆森,英语,★
Abrikosor,中性,[&#601;bri'k&#596;s&#596;f],阿布里科索夫,,无
Absalom,男性,['&#230;bs&#601;l&#601;m],阿布萨龙,希伯来语,无
Absolom,中性,['&#230;bs&#601;l&#601;m],阿布索龙,英语,无
Absolon,男性,['&#230;bs&#601;l&#601;n],阿布索伦,法语,无
Aby,男性,['eibi],艾比,英语,无
Ace,男性,[eis],埃斯,拉丁语,无
Achard,中性,[&#601;'&#643;a:],阿沙尔,盎格鲁诺曼底法语,无
Achebe,中性,['a:t&#643;eibei],阿契贝,,无
Acheson,中性,['&#230;t&#643;isn],艾奇逊,英语,★
Achilles,男性,[&#601;'kili:z],阿基里斯/阿喀琉斯,希腊,无
Ackary,中性,['&#230;k&#601;ri],阿克里,,无
Acker,中性,['&#230;k&#601;],阿克,中世纪英语,★★
Ackerly,男性,['&#230;k&#601;li],阿克利,英语,无
Ackerman,中性,['&#230;k&#601;m&#601;n],阿克曼,,★★
Ackers,中性,['&#230;k&#601;z],阿克斯,英语,无
Ackery,中性,['&#230;k&#601;ri],阿克里,,无
Acket,中性,['&#230;kit],阿克特,英语,无
Acketts,中性,['&#230;kits],阿克茨,英语,无
Ackland,中性,['&#230;kl&#601;nd],阿克兰,古英语,无
Ackroyd,中性,['&#230;kr&#596;id],阿克罗伊德,北方中世纪英语,无
Acland,中性,['&#230;kl&#601;nd],阿克兰,英语,无
Acre,中性,['eik&#601;],埃克,英国,无
Acreman,中性,['eik&#601;m&#601;n],埃克曼,英语,无
Acres,中性,['eik&#601;z],埃克斯,英语,无
Acroyd,中性,['&#230;kr&#596;id],阿克罗伊德,英语,无
Acton,男性,['&#230;kt&#601;n],阿克顿,古英语,★
Acuff,中性,[&#601;'k&#652;f],阿卡夫,,★
Ad,男性,[&#230;d],阿德,,无
Ada,女性,['eid&#601;],艾达,德语,无
Adah,女性,['eid&#601;],艾达,希伯来语,无
Adair,男性,[&#601;'d&#603;&#601;],阿代尔,德语,★★
Adam,未知,['&#230;d&#601;m],亚当,希伯来语,★★
Adams,男性,['&#230;d&#601;mz],亚当斯,希伯来语,★★★★
Adamson,男性,['&#230;d&#601;msn],亚当森,古英语,★★
Adcock,中性,['&#230;dk&#596;ks],阿德科克,英语,★★
Adcocks,中性,['&#230;dk&#596;ks],阿德科克斯,英语,无
Addams,男性,['&#230;d&#601;mz],亚当斯,希伯来语,无
