id,phrase,source,source_snippet,meaning,keywords,style,gender,wuxing,quality,combos,created_at
1,安颐,候选词,,安适养身,['平安健康（10个候选词）'],"['古风典雅', '稳重成熟', '平安健康（10个候选词）']",B,,4,[],2026-04-27 14:38:25.518123
2,康宁,候选词,,健康安宁,['平安健康（10个候选词）'],"['稳重成熟', '古风典雅', '平安健康（10个候选词）']",B,,4,[],2026-04-27 14:38:25.534221
3,静和,候选词,,安静平和,['平安健康（10个候选词）'],"['温柔婉约', '清新自然', '平安健康（10个候选词）']",B,,4,[],2026-04-27 14:38:25.535206
4,佑安,候选词,,护佑平安,['平安健康（10个候选词）'],"['大气豪迈', '古风典雅', '平安健康（10个候选词）']",B,,4,[],2026-04-27 14:38:25.536114
5,泰然,候选词,,安泰自然,['平安健康（10个候选词）'],"['大气豪迈', '稳重成熟', '平安健康（10个候选词）']",B,,4,[],2026-04-27 14:38:25.536976
6,顺安,候选词,,顺遂平安,['平安健康（10个候选词）'],"['现代简约', '稳重成熟', '平安健康（10个候选词）']",B,,4,[],2026-04-27 14:38:25.537842
7,宜宁,候选词,,适宜安宁,['平安健康（10个候选词）'],"['温柔婉约', '诗意浪漫', '平安健康（10个候选词）']",B,,4,[],2026-04-27 14:38:25.538653
8,平澜,候选词,,平静无波,['平安健康（10个候选词）'],"['清新自然', '独特个性', '平安健康（10个候选词）']",B,,4,[],2026-04-27 14:38:25.539383
9,绥和,候选词,,安定平和,['平安健康（10个候选词）'],"['古风典雅', '稳重成熟', '平安健康（10个候选词）']",B,,4,[],2026-04-27 14:38:25.540155
10,无恙,候选词,,无病无灾,['平安健康（10个候选词）'],"['独特个性', '古风典雅', '平安健康（10个候选词）']",B,,4,[],2026-04-27 14:38:25.540936
11,睿渊,候选词,,智慧深远,['聪明智慧（10个候选词）'],"['大气豪迈', '古风典雅', '聪明智慧（10个候选词）']",B,,4,[],2026-04-27 14:38:25.541742
12,明哲,候选词,,明智通达,['聪明智慧（10个候选词）'],"['稳重成熟', '古风典雅', '聪明智慧（10个候选词）']",B,,4,[],2026-04-27 14:38:25.542631
13,慧觉,候选词,,智慧觉悟,['聪明智慧（10个候选词）'],"['独特个性', '诗意浪漫', '聪明智慧（10个候选词）']",B,,4,[],2026-04-27 14:38:25.543547
14,颖悟,候选词,,聪颖过人,['聪明智慧（10个候选词）'],"['现代简约', '独特个性', '聪明智慧（10个候选词）']",B,,4,[],2026-04-27 14:38:25.544393
15,灵均,候选词,,灵性平均,['聪明智慧（10个候选词）'],"['诗意浪漫', '清新自然', '聪明智慧（10个候选词）']",B,,4,[],2026-04-27 14:38:25.545275
